position,name,genre,url,description,ratingValue,ratingCount,bestRating,worstRating
1,Carry-On,"Action, Crime, Drama",https://www.imdb.com/title/tt21382296/,A mysterious traveler blackmails a young TSA agent into letting a dangerous package slip through security and onto a Christmas Eve flight.,6.5,94167.0,10.0,1.0
2,Superman,"Action, Adventure, Fantasy",https://www.imdb.com/title/tt5950044/,"Follows the titular superhero as he reconciles his heritage with his human upbringing. He is the embodiment of truth, justice and the human way in a world that views this as old-fashioned.",,,,
3,Red One,"Action, Adventure, Comedy",https://www.imdb.com/title/tt14948432/,"After Santa Claus is kidnapped, the North Pole&apos;s Head of Security must team up with a notorious hacker in a globe-trotting, action-packed mission to save Christmas.",6.4,107627.0,10.0,1.0
4,Pushpa: The Rule - Part 2,"Action, Crime, Drama",https://www.imdb.com/title/tt16539454/,Pushpa struggles to sustain his sandalwood smuggling business in the face of tough opposition from the police.,6.4,37407.0,10.0,1.0
5,Kraven: The Hunter,"Action, Thriller",https://www.imdb.com/title/tt8790086/,"Kraven&apos;s complex relationship with his ruthless father, Nikolai Kravinoff, starts him down a path of vengeance with brutal consequences, motivating him to become not only the greatest hunter in the world, but also one of its most ...",5.4,17527.0,10.0,1.0
6,Wicked: Part I,"Fantasy, Musical, Romance",https://www.imdb.com/title/tt1262426/,"Elphaba, a misunderstood young woman because of her green skin, and Galinda, a popular girl, become friends at Shiz University in the Land of Oz. After an encounter with the Wonderful Wizard of Oz, their friendship reaches a cross...",8.0,76789.0,10.0,1.0
7,Sonic the Hedgehog 3,"Action, Adventure, Comedy",https://www.imdb.com/title/tt18259086/,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched, Team Sonic must seek out an unlikely alliance.",7.4,11796.0,10.0,1.0
8,Nosferatu,"Fantasy, Horror, Mystery",https://www.imdb.com/title/tt5040012/,"A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake.",7.9,12997.0,10.0,1.0
9,Mufasa: The Lion King,"Animation, Adventure, Drama",https://www.imdb.com/title/tt13186482/,"Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny.",6.8,14051.0,10.0,1.0
10,Anora,"Comedy, Drama, Romance",https://www.imdb.com/title/tt28607951/,"Anora, a young sex worker from Brooklyn, meets and impulsively marries the son of an oligarch. Once the news reaches Russia, her fairytale is threatened as his parents set out for New York to get the marriage annulled.",7.9,44231.0,10.0,1.0
11,Gladiator II,"Action, Adventure, Drama",https://www.imdb.com/title/tt9218128/,"After his home is conquered by the tyrannical emperors who now lead Rome, Lucius is forced to enter the Colosseum and must look to his past to find strength to return the glory of Rome to its people.",6.8,133065.0,10.0,1.0
12,Heretic,"Horror, Thriller",https://www.imdb.com/title/tt28015403/,Two young religious women are drawn into a game of cat-and-mouse in the house of a strange man.,7.1,58437.0,10.0,1.0
13,The Lord of the Rings: The War of the Rohirrim,"Animation, Action, Adventure",https://www.imdb.com/title/tt14824600/,"A sudden attack by Wulf, a clever and traitorous lord of Rohan seeking vengeance for the death of his father, forces Helm Hammerhand, the King of Rohan, and his people to make a daring last stand in the ancient stronghold of the H...",6.5,12922.0,10.0,1.0
14,Love Actually,"Comedy, Drama, Romance",https://www.imdb.com/title/tt0314331/,"Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England.",7.6,549810.0,10.0,1.0
15,28 Years Later,"Horror, Thriller",https://www.imdb.com/title/tt10548174/,"A group of survivors of the rage virus lives on a small island. When one of the group leaves the island on a mission into the mainland, he discovers secrets, wonders, and horrors that have mutated not only the infected but other s...",,,,
16,Subservience,"Sci-Fi, Thriller",https://www.imdb.com/title/tt24871974/,"Follows a struggling father who purchases a domestic SIM to help care for his house and family, unaware she will gain awareness and turn deadly.",5.4,17851.0,10.0,1.0
17,The Substance,"Drama, Horror, Sci-Fi",https://www.imdb.com/title/tt17526714/,"A fading celebrity takes a black-market drug: a cell-replicating substance that temporarily creates a younger, better version of herself.",7.4,178754.0,10.0,1.0
18,Home Alone,"Comedy, Family",https://www.imdb.com/title/tt0099785/,"An eight-year-old troublemaker, mistakenly left home alone, must defend his home against a pair of burglars on Christmas Eve.",7.7,682619.0,10.0,1.0
19,Conclave,"Drama, Mystery, Thriller",https://www.imdb.com/title/tt20215234/,"When Cardinal Lawrence is tasked with leading one of the world&apos;s most secretive and ancient events, selecting a new Pope, he finds himself at the center of a conspiracy that could shake the very foundation of the Catholic Church.",7.4,46897.0,10.0,1.0
20,Karate Kid: Legends,"Action, Drama, Family",https://www.imdb.com/title/tt1674782/,"Kung fu prodigy Li Fong is uprooted from his home in Beijing and forced to move to New York City. When a friend needs his help, Li enters a karate competition. Li&apos;s teacher Mr. Han enlists original Karate Kid Daniel LaRusso for help.",,,,
21,National Lampoon&apos;s Christmas Vacation,Comedy,https://www.imdb.com/title/tt0097958/,The Griswold family&apos;s plans for a big family Christmas predictably turn into a big disaster.,7.5,232016.0,10.0,1.0
22,Moana 2,"Animation, Adventure, Comedy",https://www.imdb.com/title/tt13622970/,"After receiving an unexpected call from her wayfinding ancestors, Moana must journey to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she&apos;s ever faced.",7.0,48416.0,10.0,1.0
23,Juror #2,"Crime, Drama, Mystery",https://www.imdb.com/title/tt27403986/,"While serving as a juror in a high-profile murder trial, a family man finds himself struggling with a serious moral dilemma, one he could use to sway the jury verdict and potentially convict or free the wrong killer.",7.0,41583.0,10.0,1.0
24,Joker: Folie à Deux,"Drama, Musical, Thriller",https://www.imdb.com/title/tt11315808/,"Struggling with his dual identity, failed comedian Arthur Fleck meets the love of his life, Harley Quinn, while incarcerated at Arkham State Hospital.",5.2,136473.0,10.0,1.0
25,How the Grinch Stole Christmas,"Comedy, Family, Fantasy",https://www.imdb.com/title/tt0170016/,"On the outskirts of Whoville lives a green, revenge-seeking Grinch who plans to ruin Christmas for all of the citizens of the town.",6.4,306743.0,10.0,1.0
26,Dear Santa,"Comedy, Fantasy",https://www.imdb.com/title/tt2396431/,"When a young boy mails his Christmas wish list to Santa with one crucial spelling error, a devilish Jack Black arrives to wreak havoc on the holidays.",5.4,14836.0,10.0,1.0
27,Venom: The Last Dance,"Action, Adventure, Sci-Fi",https://www.imdb.com/title/tt16366836/,Eddie Brock and Venom must make a devastating decision as they&apos;re pursued by a mysterious military man and alien monsters from Venom&apos;s home world.,6.0,72841.0,10.0,1.0
28,It Ends with Us,"Drama, Romance",https://www.imdb.com/title/tt10655524/,"When a woman&apos;s first love suddenly reenters her life, her relationship with a charming, but abusive neurosurgeon is upended and she realizes she must learn to rely on her own strength to make an impossible choice for her future.",6.5,60965.0,10.0,1.0
29,The Brutalist,Drama,https://www.imdb.com/title/tt8999762/,"When a visionary architect and his wife flee post-war Europe in 1947 to rebuild their legacy and witness the birth of modern United States, their lives are changed forever by a mysterious, wealthy client.",8.1,2395.0,10.0,1.0
30,Die Hard,"Action, Thriller",https://www.imdb.com/title/tt0095016/,A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,8.2,975046.0,10.0,1.0
31,Elf,"Adventure, Comedy, Family",https://www.imdb.com/title/tt0319343/,"Raised as an oversized elf, Buddy travels from the North Pole to New York City to meet his biological father, Walter Hobbs, who doesn&apos;t know he exists and is in desperate need of some Christmas spirit.",7.1,325657.0,10.0,1.0
32,That Christmas,"Animation, Adventure, Comedy",https://www.imdb.com/title/tt14855468/,"It&apos;s an unforgettable Christmas for the townsfolk of Wellington-on-Sea when the worst snowstorm in history alters everyone&apos;s plans, including Santa&apos;s.",6.8,13797.0,10.0,1.0
33,Small Things Like These,"Drama, History",https://www.imdb.com/title/tt27196021/,In 1985 devoted father Bill Furlong discovers disturbing secrets kept by the local convent and uncovers shocking truths of his own.,6.9,10321.0,10.0,1.0
34,28 Days Later,"Drama, Horror, Sci-Fi",https://www.imdb.com/title/tt0289043/,"Four weeks after a mysterious, incurable virus spreads throughout the United Kingdom, a handful of survivors try to find sanctuary.",7.5,463486.0,10.0,1.0
35,A Complete Unknown,"Biography, Drama, Music",https://www.imdb.com/title/tt11563598/,"In 1961, unknown 19-year-old Bob Dylan arrives in New York City with his guitar. He forges relationships with music icons of Greenwich Village on his meteoric rise, culminating in a groundbreaking performance that reverberates wor...",7.9,4137.0,10.0,1.0
36,Babygirl,"Crime, Drama, Mystery",https://www.imdb.com/title/tt30057084/,A high-powered CEO puts her career and family on the line when she begins a torrid affair with her much-younger intern.,6.5,3595.0,10.0,1.0
37,Interstellar,"Adventure, Drama, Sci-Fi",https://www.imdb.com/title/tt0816692/,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",8.7,2235575.0,10.0,1.0
38,The Holiday,"Comedy, Romance",https://www.imdb.com/title/tt0457939/,"Amanda lives in LA and is a movie trailer editor. Iris lives in Surrey and is a journalist. The two decide to swap houses for two weeks at Christmas - both trying to forget their troubled love lives, until love finds them anyways.",7.0,340808.0,10.0,1.0
39,Gladiator,"Action, Adventure, Drama",https://www.imdb.com/title/tt0172495/,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,8.5,1709084.0,10.0,1.0
40,Maria,"Biography, Drama, Music",https://www.imdb.com/title/tt22893404/,"Maria Callas, the world&apos;s greatest opera singer, lives the last days of her life in 1970s Paris, as she confronts her identity and life.",6.5,6778.0,10.0,1.0
41,Queer,"Biography, Drama, History",https://www.imdb.com/title/tt24176060/,"In 1950s Mexico City, an American immigrant in his late forties leads a solitary life amidst a small American community. However, the arrival of a young student stirs the man into finally establishing a meaningful connection with ...",6.6,5383.0,10.0,1.0
42,Deadpool &amp; Wolverine,"Action, Adventure, Comedy",https://www.imdb.com/title/tt6263850/,"Deadpool is offered a place in the Marvel Cinematic Universe by the Time Variance Authority, but instead recruits a variant of Wolverine to save his universe from extinction.",7.6,432444.0,10.0,1.0
43,The Grinch,"Animation, Comedy, Family",https://www.imdb.com/title/tt2709692/,A grumpy Grinch plots to ruin Christmas for the village of Whoville.,6.4,100300.0,10.0,1.0
44,The Electric State,"Action, Adventure, Comedy",https://www.imdb.com/title/tt7766378/,"An orphaned teenager traverses the American West with a sweet, but mysterious robot, and an eccentric drifter in search of her younger brother.",,,,
45,Beetlejuice Beetlejuice,"Comedy, Fantasy, Horror",https://www.imdb.com/title/tt2049403/,"After a family tragedy, three generations of the Deetz family return home to Winter River. Still haunted by Beetlejuice, Lydia&apos;s life is turned upside down when her teenage daughter, Astrid, accidentally opens the portal to the Af...",6.7,122655.0,10.0,1.0
46,Home Alone 2: Lost in New York,"Adventure, Comedy, Crime",https://www.imdb.com/title/tt0104431/,"Kevin is separated from his family again when he accidentally boards a flight to New York City during a Christmas trip to Miami. However he crosses paths with the same burglars, who now plan to rob a toy store on Christmas eve.",6.9,420888.0,10.0,1.0
47,The Six Triple Eight,"Drama, History, War",https://www.imdb.com/title/tt24458622/,"During World War II, 855 women joined the fight to fix the three-year backlog of undelivered mail. Faced with discrimination and a country devastated by war, they managed to sort more than 17 million pieces of mail ahead of time.",6.6,9461.0,10.0,1.0
48,Warfare,"Action, Drama, War",https://www.imdb.com/title/tt31434639/,Based on ex-Navy Seal Ray Mendoza&apos;s real-life experiences during the Iraq War.,,,,
49,It&apos;s a Wonderful Life,"Drama, Family, Fantasy",https://www.imdb.com/title/tt0038650/,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,8.6,518616.0,10.0,1.0
50,Lucky Baskhar,"Crime, Drama, Thriller",https://www.imdb.com/title/tt27540542/,A cash-strapped cashier working at a bank embarks on a risky investment scheme and soon gets drawn into the murky world of money laundering.,8.1,21417.0,10.0,1.0
51,The Dead Don&apos;t Die,"Comedy, Fantasy, Horror",https://www.imdb.com/title/tt8695030/,The focus is on the sleepy small town of Centerville where the dead become undead.,5.5,91553.0,10.0,1.0
52,Twisters,"Action, Adventure, Thriller",https://www.imdb.com/title/tt12584954/,"Kate Carter, a retired tornado-chaser and meteorologist, is persuaded to return to Oklahoma to work with a new team and new technologies.",6.5,141750.0,10.0,1.0
53,Our Little Secret,"Comedy, Romance",https://www.imdb.com/title/tt31022050/,Two resentful exes must awkwardly spend Christmas together after they learn that their new partners are siblings.,5.7,20291.0,10.0,1.0
54,The Polar Express,"Animation, Adventure, Comedy",https://www.imdb.com/title/tt0338348/,"On Christmas Eve, a young boy embarks on a magical adventure to the North Pole on the Polar Express, while learning about friendship, bravery, and the spirit of Christmas.",6.6,253411.0,10.0,1.0
55,The Sound of Music,"Biography, Drama, Family",https://www.imdb.com/title/tt0059742/,A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,8.1,270229.0,10.0,1.0
56,The Santa Clause,"Comedy, Drama, Family",https://www.imdb.com/title/tt0111070/,"When a man inadvertently makes Santa fall off his roof on Christmas Eve, he finds himself magically recruited to take his place.",6.6,139324.0,10.0,1.0
57,Smile 2,"Horror, Mystery, Thriller",https://www.imdb.com/title/tt29268110/,"About to embark on a world tour, global pop sensation Skye Riley begins experiencing increasingly terrifying and inexplicable events. Overwhelmed by the escalating horrors and the pressures of fame, Skye is forced to face her past.",6.8,72683.0,10.0,1.0
58,White Christmas,"Comedy, Musical, Romance",https://www.imdb.com/title/tt0047673/,A successful song-and-dance team become romantically involved with a sister act and team up to save the failing Vermont inn of their former commanding general.,7.5,54243.0,10.0,1.0
59,Young Hearts,"Drama, Family",https://www.imdb.com/title/tt15245268/,Elias develops feelings for his new neighbor Alexander. He soon realizes he&apos;s falling in love for the first time.,8.3,2624.0,10.0,1.0
60,28 Weeks Later,"Horror, Sci-Fi",https://www.imdb.com/title/tt0463854/,"Six months after the rage virus was inflicted on the population of Great Britain, the US Army helps to secure a small area of London for the survivors to repopulate and start again. But not everything goes according to plan.",6.9,303779.0,10.0,1.0
61,Emilia Pérez,"Comedy, Crime, Drama",https://www.imdb.com/title/tt20221436/,"Emilia Pérez follows four remarkable women in Mexico, each pursuing their own happiness. Cartel leader Emilia enlists Rita, an unappreciated lawyer, to help fake her death so that she can finally live authentically as her true self.",6.8,18825.0,10.0,1.0
62,A Christmas Story,"Comedy, Family",https://www.imdb.com/title/tt0085334/,"In the 1940s, a young boy named Ralphie Parker attempts to convince his parents, teacher, and Santa Claus that a Red Ryder Range 200 Shot BB gun really is the perfect Christmas gift.",7.9,173731.0,10.0,1.0
63,Homestead,"Action, Drama, Thriller",https://www.imdb.com/title/tt29137778/,"Amid chaos, ex-Green Beret joins prepper compound; love grows, truths arise, and a community unites.",5.4,974.0,10.0,1.0
64,Death of a Unicorn,"Comedy, Horror",https://www.imdb.com/title/tt28443655/,Father-Daughter duo Riley and Elliot hit a unicorn with their car and bring it to the wilderness retreat of a mega-wealthy pharmaceutical CEO.,,,,
65,Scrooged,"Comedy, Drama, Fantasy",https://www.imdb.com/title/tt0096061/,"A selfish, cynical television executive is haunted by three spirits bearing lessons on Christmas Eve.",6.9,121729.0,10.0,1.0
66,Klaus,"Animation, Adventure, Comedy",https://www.imdb.com/title/tt4729430/,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg&apos;s new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.",8.2,206052.0,10.0,1.0
67,Alien: Romulus,"Horror, Sci-Fi, Thriller",https://www.imdb.com/title/tt18412256/,"While scavenging the deep ends of a derelict space station, a group of young space colonists come face to face with the most terrifying life form in the universe.",7.1,195168.0,10.0,1.0
68,Dirty Angels,"Action, Drama, Thriller",https://www.imdb.com/title/tt23872640/,It centers on a group of female soldiers who disguise themselves as medics to rescue a group of teenagers caught between ISIS and the forces of the Taliban.,4.2,1638.0,10.0,1.0
