position,name,genre,url,description,ratingValue,ratingCount,bestRating,worstRating
1,Yellowstone,"Drama, Western",https://www.imdb.com/title/tt4236770/,A ranching family in Montana faces off against others encroaching on their land.,8.6,250281,10,1
2,Black Doves,"Action, Drama, Mystery",https://www.imdb.com/title/tt27995113/,"Helen embarks on a passionate affair with a man who has no idea what her secret identity is. Caught in the crosshairs when her lover falls victim to the dangerous London underworld, Helen&apos;s employer&apos;s call in Sam to protect her.",7.2,31243,10,1
3,No Good Deed,"Comedy, Drama",https://www.imdb.com/title/tt19891306/,It tells the story of three very different families vying to buy the very same 1920s Spanish style villa that they think will solve all their problems.,7.0,7370,10,1
4,The Day of the Jackal,"Action, Crime, Drama",https://www.imdb.com/title/tt24053860/,The Jackal is an elusive assassin who makes his living carrying out hits for the highest fee. He soon meets his match in a tenacious British intelligence officer who tracks him down in a thrilling cat-and-mouse chase across Europe.,8.2,41505,10,1
5,Secret Level,"Animation, Action, Adventure",https://www.imdb.com/title/tt33204697/,Original stories set within the worlds of iconic video games are featured in this animated anthology series.,7.6,14350,10,1
6,Landman,Drama,https://www.imdb.com/title/tt14186672/,A modern-day tale of fortune seeking in the world of West Texas oil rigs.,8.3,15266,10,1
7,Dexter: Original Sin,"Crime, Drama, Mystery",https://www.imdb.com/title/tt32252772/,"Miami, 1991. When his bloodthirsty urges can&apos;t be ignored any longer, young Dexter Morgan must learn to channel his inner darkness as he transitions from student to avenging serial killer with the guidance of his father, Harry.",8.3,6853,10,1
8,La Palma,Drama,https://www.imdb.com/title/tt30317229/,A Norwegian family vacationing in La Palma faces chaos when a researcher discovers imminent volcanic eruption signs that could trigger a massive tsunami.,6.2,11661,10,1
9,Dune: Prophecy,"Action, Adventure, Drama",https://www.imdb.com/title/tt10466872/,Two Harkonnen sisters combat forces that threaten the future of humankind and establish the fabled sect that will become known as the Bene Gesserit.,7.3,26716,10,1
10,Silo,"Drama, Mystery, Sci-Fi",https://www.imdb.com/title/tt14688458/,Men and women live in a giant silo underground with several regulations which they believe are in place to protect them from the toxic and ruined world on the surface.,8.1,152901,10,1
11,Arcane,"Animation, Action, Adventure",https://www.imdb.com/title/tt11126994/,"Amid the stark discord of twin cities Piltover and Zaun, two sisters fight on rival sides of a war between magic technologies and clashing convictions.",9.0,358463,10,1
12,The White Lotus,"Comedy, Drama",https://www.imdb.com/title/tt13406094/,The exploits of various guests and employees of a luxury resort over the span of a week.,8.0,226435,10,1
13,Lioness,"Action, Drama, Thriller",https://www.imdb.com/title/tt13111078/,CIA operative Joe attempts to balance her personal and professional lives as the tip of the spear in the agency&apos;s war on terror.,7.7,60420,10,1
14,Cien Años de Soledad,"Drama, Fantasy, History",https://www.imdb.com/title/tt9892936/,"In the timeless town of Macondo, seven generations of the Buendía family navigate love, oblivion and the inescapability of their past and their fate.",8.5,6794,10,1
15,Skeleton Crew,"Action, Adventure, Sci-Fi",https://www.imdb.com/title/tt20600980/,Four kids make a mysterious discovery on their home planet that leads them to get lost in a strange and dangerous galaxy.,7.2,10605,10,1
16,Game of Thrones,"Action, Adventure, Drama",https://www.imdb.com/title/tt0944947/,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.",9.2,2381025,10,1
17,Shrinking,"Comedy, Drama",https://www.imdb.com/title/tt15677150/,"A grieving therapist starts to tell his clients exactly what he thinks. Ignoring his training and ethics, he finds himself making huge changes to people&apos;s lives - including his own.",8.1,85335,10,1
18,Dexter,"Crime, Drama, Mystery",https://www.imdb.com/title/tt0773262/,"He&apos;s smart. He&apos;s lovable. He&apos;s Dexter Morgan, America&apos;s favorite serial killer, who spends his days solving crimes and his nights committing them.",8.6,812154,10,1
19,From,"Drama, Horror, Mystery",https://www.imdb.com/title/tt9813792/,"Unravel the mystery of a city in middle U.S.A. that imprisons everyone who enters. As the residents struggle to maintain a sense of normality and seek a way out, they must also survive the threats of the surrounding forest.",7.8,122344,10,1
20,The Agency,"Drama, Thriller",https://www.imdb.com/title/tt26656917/,"Follows a world of even deeper intrigue and subterfuge, with characters fighting their own battles as they grapple with existential threats to the nation and the world.",7.3,4726,10,1
21,A Man on the Inside,"Comedy, Crime",https://www.imdb.com/title/tt26670955/,"Charles, a retired man, gets a new lease on life when he answers an ad from a private investigator and becomes a mole in a secret investigation in a nursing home.",7.7,20212,10,1
22,The Penguin,"Crime, Drama",https://www.imdb.com/title/tt15435876/,"Following the events of The Batman (2022), Oz Cobb, a.k.a. the Penguin, makes a play to seize the reins of the crime world in Gotham.",8.7,149843,10,1
23,Breaking Bad,"Crime, Drama, Thriller",https://www.imdb.com/title/tt0903747/,A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student to secure his family&apos;s future.,9.5,2255512,10,1
24,1923,"Drama, Western",https://www.imdb.com/title/tt18335752/,"The Duttons face a new set of challenges in the early 20th century, including the rise of Western expansion, Prohibition, and the Great Depression.",8.3,61738,10,1
25,Virgin River,"Drama, Romance",https://www.imdb.com/title/tt9077530/,"Seeking a fresh start, nurse practitioner Melinda Monroe moves from Los Angeles to a remote Northern California town and is surprised by what and who she finds.",7.4,54009,10,1
26,Outlander,"Adventure, Drama, Fantasy",https://www.imdb.com/title/tt3006802/,"Claire Beauchamp Randall, a nurse in World War II, mysteriously goes back in time to Scotland in 1743. There, she meets a dashing Highland warrior and gets drawn into an epic rebellion.",8.3,185783,10,1
27,The Madness,"Crime, Drama, Thriller",https://www.imdb.com/title/tt26676489/,Media pundit Muncie Daniels must fight for his innocence and his life after he stumbles upon a murder deep in the Poconos.,6.4,10890,10,1
28,Lost,"Adventure, Drama, Fantasy",https://www.imdb.com/title/tt0411008/,The survivors of a plane crash are forced to work together in order to survive on a seemingly deserted tropical island.,8.3,623952,10,1
29,Strike,"Crime, Drama, Mystery",https://www.imdb.com/title/tt4276618/,"Cormoran Strike is a war veteran turned private detective operating out of a tiny office in London. Though he&apos;s wounded both physically and psychologically, Strike&apos;s background and unique insight prove crucial in unraveling comple...",7.9,26581,10,1
30,Bad Sisters,"Comedy, Drama, Thriller",https://www.imdb.com/title/tt15469618/,The Garvey sisters are bound together by their parents&apos; deaths and a promise to always protect one another.,8.3,43366,10,1
31,Creature Commandos,"Animation, Action, Adventure",https://www.imdb.com/title/tt26545355/,"Follows a group of military super humans comprised of a human leader, a werewolf, a vampire, Frankenstein&apos;s monster and a gorgon.",7.8,5525,10,1
