,Name,Price,24h,7d,30d,Market Cap,Volume(24h),Last 7 Days
1,Ethereum1ETH,"$4,639.11",4.66%,27.63%,53.07%,"$559,980,773,233","$64,579,598,515",
2,Solana2SOL,$196.74,8.57%,17.16%,19.14%,"$106,171,110,849","$13,838,557,626",
3,OKB3OKB,$98.99,114.63%,119.03%,108.03%,"$5,939,681,228","$1,136,693,710",
4,Dogecoin4DOGE,$0.2409,5.52%,18.80%,19.50%,"$36,250,294,459","$4,207,325,783",
5,Cardano5ADA,$0.8682,6.79%,18.27%,17.41%,"$30,914,047,990","$2,604,425,245",
6,BNB6BNB,$842.02,2.98%,9.64%,21.09%,"$117,283,534,303","$3,479,140,459",
7,Bitcoin7BTC,"$120,611.45",0.72%,4.84%,0.20%,"$2,400,867,458,938","$81,575,355,500",
8,Sui8SUI,$3.92,3.16%,13.44%,0.54%,"$13,782,200,963","$2,270,198,244",
9,Chainlink9LINK,$23.49,0.12%,41.45%,45.42%,"$15,926,209,188","$2,465,614,971",
10,Litecoin10LTC,$130.42,5.69%,10.83%,35.65%,"$9,935,543,847","$1,605,080,737",
11,Pepe11PEPE,$0.00001208,2.94%,15.86%,2.46%,"$5,083,923,879","$1,526,648,430",
12,Bitget Token12BGB,$4.67,5.22%,7.57%,5.47%,"$5,320,848,184","$513,094,755",
13,XRP13XRP,$3.25,0.93%,9.01%,8.11%,"$192,474,030,720","$9,639,123,014",
14,Zircuit14ZRC,$0.03411,0.02%,1.91%,40.40%,"$74,879,349","$1,048,887,808",
15,SKALE15SKL,$0.02835,33.46%,43.66%,31.39%,"$168,426,982","$277,610,088",
16,Aspecta16ASP,$0.1555,7.76%,1.79%,72.87%,"$35,763,372","$1,171,262,082",
17,Shiba Inu17SHIB,$0.00001371,2.95%,11.69%,1.58%,"$8,077,738,182","$368,843,238",
18,Arbitrum18ARB,$0.5335,15.00%,38.59%,29.53%,"$2,747,733,286","$922,142,642",
19,Fartcoin19FARTCOIN,$1.06,20.17%,10.60%,19.80%,"$1,064,030,003","$683,433,882",
20,Avalanche20AVAX,$25.01,3.85%,12.89%,15.52%,"$10,562,607,902","$910,950,575",
21,OFFICIAL TRUMP21TRUMP,$9.44,5.07%,7.40%,0.92%,"$1,887,902,916","$781,415,396",
22,Trusta.AI22TA,$0.06115,2.79%,9.32%,51.26%,"$11,006,828","$747,103,054",
23,TRON23TRX,$0.3575,2.67%,6.89%,18.91%,"$33,854,630,017","$1,370,124,428",
24,Bonk24BONK,$0.00002606,3.51%,7.75%,3.68%,"$2,098,582,097","$721,136,993",
25,Spark25SPK,$0.09322,10.38%,20.32%,186.64%,"$130,086,515","$278,251,439",
26,dogwifhat26WIF,$1.03,9.06%,17.21%,1.87%,"$1,033,499,259","$488,108,132",
27,Curve DAO Token27CRV,$1.02,5.64%,11.70%,49.36%,"$1,402,505,806","$401,212,844",
28,Yala28YALA,$0.2472,6.30%,26.86%,40.19%,"$60,909,722","$1,184,168,769",
29,Raydium29RAY,$3.64,12.72%,37.00%,29.74%,"$974,886,393","$304,813,450",
30,Aave30AAVE,$323.23,4.35%,24.56%,0.74%,"$4,917,102,696","$803,061,085",
31,Aerodrome Finance31AERO,$1.35,10.70%,79.06%,62.55%,"$1,178,342,262","$224,397,233",
32,Towns32TOWNS,$0.03374,5.23%,8.51%,58.32%,"$71,164,150","$154,437,051",
33,Sei33SEI,$0.3491,10.50%,19.88%,4.52%,"$2,018,573,141","$328,644,297",
34,Hyperliquid34HYPE,$45.26,2.89%,18.14%,5.38%,"$15,114,180,814","$451,321,933",
35,Toncoin35TON,$3.46,1.00%,7.29%,14.31%,"$8,870,342,714","$428,473,046",
36,THENA36THE,$0.4338,14.08%,20.37%,36.92%,"$47,273,261","$84,959,394",
37,Hedera37HBAR,$0.2615,2.39%,7.65%,8.23%,"$11,083,713,421","$492,363,536",
38,PancakeSwap38CAKE,$2.89,3.14%,9.44%,19.80%,"$996,069,077","$127,631,643",
39,Uniswap39UNI,$11.96,5.95%,24.55%,27.58%,"$7,518,579,152","$1,047,911,663",
40,ZKsync40ZK,$0.06867,16.83%,32.37%,22.99%,"$504,159,165","$126,288,021",
41,MyShell41SHELL,$0.1575,9.66%,10.43%,3.65%,"$47,082,482","$96,194,524",
42,Pudgy Penguins42PENGU,$0.03647,1.01%,8.64%,29.73%,"$2,292,764,031","$783,554,440",
43,Aptos43APT,$4.92,3.63%,15.83%,2.36%,"$3,365,041,563","$327,360,463",
44,Polkadot44DOT,$4.20,3.51%,15.40%,4.13%,"$6,754,714,288","$585,858,968",
45,Optimism45OP,$0.8372,7.61%,25.27%,24.10%,"$1,466,953,095","$372,298,235",
46,Ondo46ONDO,$1.06,1.85%,14.37%,15.59%,"$3,348,814,842","$298,478,160",
47,Santos FC Fan Token47SANTOS,$2.80,0.42%,28.37%,31.73%,"$37,454,890","$96,489,719",
48,Injective48INJ,$15.53,7.86%,19.54%,24.14%,"$1,553,001,368","$197,758,697",
49,BOOK OF MEME49BOME,$0.002127,11.20%,22.14%,17.07%,"$146,582,726","$101,111,147",
50,Alpine F1 Team Fan Token50ALPINE,$1.41,4.23%,57.98%,66.47%,"$26,357,099","$135,495,420",
