;title;book_url;author;author_url;rating;votes
1;Words of Radiance (The Stormlight Archive, #2);https://www.goodreads.com/book/show/17332218-words-of-radiance;Brandon Sanderson;https://www.goodreads.com/author/show/38550.Brandon_Sanderson;4.76;419940
2;Harry Potter and the Deathly Hallows (Harry Potter, #7);https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows;J.K. Rowling;https://www.goodreads.com/author/show/1077326.J_K_Rowling;4.62;3925341
3;Crooked Kingdom (Six of Crows, #2);https://www.goodreads.com/book/show/22299763-crooked-kingdom;Leigh Bardugo;https://www.goodreads.com/author/show/4575289.Leigh_Bardugo;4.58;709591
4;Fourth Wing (The Empyrean, #1);https://www.goodreads.com/book/show/61431922-fourth-wing;Rebecca Yarros;https://www.goodreads.com/author/show/7539785.Rebecca_Yarros;4.58;2668352
5;A Court of Mist and Fury (A Court of Thorns and Roses, #2);https://www.goodreads.com/book/show/50659468-a-court-of-mist-and-fury;Sarah J. Maas;https://www.goodreads.com/author/show/3433047.Sarah_J_Maas;4.65;2689652
6;The Return of the King (The Lord of the Rings, #3);https://www.goodreads.com/book/show/61215384-the-return-of-the-king;J.R.R. Tolkien;https://www.goodreads.com/author/show/656983.J_R_R_Tolkien;4.57;974373
7;The House of Hades (The Heroes of Olympus, #4);https://www.goodreads.com/book/show/12127810-the-house-of-hades;Rick Riordan;https://www.goodreads.com/author/show/15872.Rick_Riordan;4.57;453793
8;Kingdom of Ash (Throne of Glass, #7);https://www.goodreads.com/book/show/76715522-kingdom-of-ash;Sarah J. Maas;https://www.goodreads.com/author/show/3433047.Sarah_J_Maas;4.71;832742
9;The Nightingale;https://www.goodreads.com/book/show/21853621-the-nightingale;Kristin Hannah;https://www.goodreads.com/author/show/54493.Kristin_Hannah;4.64;1709187
10;The Complete Maus;https://www.goodreads.com/book/show/15195.The_Complete_Maus;Art Spiegelman;https://www.goodreads.com/author/show/5117.Art_Spiegelman;4.58;237675
11;Heartstopper: Volume Four (Heartstopper, #4);https://www.goodreads.com/book/show/56060300-heartstopper;Alice Oseman;https://www.goodreads.com/author/show/7789423.Alice_Oseman;4.59;420141
12;Know My Name;https://www.goodreads.com/book/show/50196744-know-my-name;Chanel Miller;https://www.goodreads.com/author/show/19527332.Chanel_Miller;4.7;228790
13;Light Bringer (Red Rising Saga, #6);https://www.goodreads.com/book/show/29227774-light-bringer;Pierce Brown;https://www.goodreads.com/author/show/6474348.Pierce_Brown;4.75;63280
14;Just Mercy;https://www.goodreads.com/book/show/20342617-just-mercy;Bryan Stevenson;https://www.goodreads.com/author/show/4396806.Bryan_Stevenson;4.63;247425
15;It's a Magical World (Calvin and Hobbes, #11);https://www.goodreads.com/book/show/24814.It_s_a_Magical_World;Bill Watterson;https://www.goodreads.com/author/show/13778.Bill_Watterson;4.73;28799
