position;title;book_url;author;author_url;rating;votes
1;The Invisible Life of Addie LaRue;https://www.goodreads.com/book/show/50623864-the-invisible-life-of-addie-larue;V.E. Schwab;https://www.goodreads.com/author/show/7168230.V_E_Schwab;4.17;1402470
2;Project Hail Mary;https://www.goodreads.com/book/show/54493401-project-hail-mary;Andy Weir;https://www.goodreads.com/author/show/6540057.Andy_Weir;4.5;895429
3;The House in the Cerulean Sea (Cerulean Chronicles, #1);https://www.goodreads.com/book/show/45047384-the-house-in-the-cerulean-sea;T.J. Klune;https://www.goodreads.com/author/show/5073330.T_J_Klune;4.37;878173
4;The Midnight Library;https://www.goodreads.com/book/show/52578297-the-midnight-library;Matt Haig;https://www.goodreads.com/author/show/76360.Matt_Haig;3.98;2296744
5;I’m Glad My Mom Died;https://www.goodreads.com/book/show/59366244-i-m-glad-my-mom-died;Jennette McCurdy;https://www.goodreads.com/author/show/15457334.Jennette_McCurdy;4.44;1361882
6;Fourth Wing (The Empyrean, #1);https://www.goodreads.com/book/show/61431922-fourth-wing;Rebecca Yarros;https://www.goodreads.com/author/show/7539785.Rebecca_Yarros;4.58;3180839
7;The Ballad of Songbirds and Snakes (The Hunger Games, #0);https://www.goodreads.com/book/show/51901147-the-ballad-of-songbirds-and-snakes;Suzanne Collins;https://www.goodreads.com/author/show/153394.Suzanne_Collins;3.99;1082676
8;Piranesi;https://www.goodreads.com/book/show/50202953-piranesi;Susanna Clarke;https://www.goodreads.com/author/show/8842.Susanna_Clarke;4.22;412219
9;Lessons in Chemistry;https://www.goodreads.com/book/show/58065033-lessons-in-chemistry;Bonnie Garmus;https://www.goodreads.com/author/show/21370624.Bonnie_Garmus;4.28;1687847
10;Tomorrow, and Tomorrow, and Tomorrow;https://www.goodreads.com/book/show/58784475-tomorrow-and-tomorrow-and-tomorrow;Gabrielle Zevin;https://www.goodreads.com/author/show/40593.Gabrielle_Zevin;4.13;1263971
11;Babel;https://www.goodreads.com/book/show/57945316-babel;R.F. Kuang;https://www.goodreads.com/author/show/16820001.R_F_Kuang;4.16;405136
12;The Vanishing Half;https://www.goodreads.com/book/show/51791252-the-vanishing-half;Brit Bennett;https://www.goodreads.com/author/show/10802967.Brit_Bennett;4.13;834226
13;A ​Court of Silver Flames (A Court of Thorns and Roses, #4);https://www.goodreads.com/book/show/53138095-a-court-of-silver-flames;Sarah J. Maas;https://www.goodreads.com/author/show/3433047.Sarah_J_Maas;4.45;1913252
14;House of Earth and Blood (Crescent City, #1);https://www.goodreads.com/book/show/44778083-house-of-earth-and-blood;Sarah J. Maas;https://www.goodreads.com/author/show/3433047.Sarah_J_Maas;4.45;1028422
15;Beach Read;https://www.goodreads.com/book/show/52867387-beach-read;Emily Henry;https://www.goodreads.com/author/show/13905555.Emily_Henry;3.98;1535943
16;My Dark Vanessa;https://www.goodreads.com/book/show/44890081-my-dark-vanessa;Kate Elizabeth Russell;https://www.goodreads.com/author/show/18692517.Kate_Elizabeth_Russell;4.1;400758
17;The Love Hypothesis;https://www.goodreads.com/book/show/56732449-the-love-hypothesis;Ali Hazelwood;https://www.goodreads.com/author/show/21098177.Ali_Hazelwood;4.11;1722034
18;Malibu Rising;https://www.goodreads.com/book/show/55404546-malibu-rising;Taylor Jenkins Reid;https://www.goodreads.com/author/show/6572605.Taylor_Jenkins_Reid;4.03;1237537
